lookup_type,age,lookup_value,term_rate
yos,34,15,0.0225
yos,34,16,0.0225
yos,34,17,0.02
yos,34,18,0.0175
yos,34,19,0.0175
yos,34,20,0.0175
yos,34,21,0.015
yos,34,22,0.015
yos,34,23,0.0115
yos,34,24,0.0115
yos,34,25,0.01
yos,34,26,0.01
yos,34,27,0.009
yos,34,28,0.0065
yos,34,29,0.005
yos,34,30,0.005
yos,34,31,0.005
yos,34,32,0.005
yos,34,33,0.005
yos,34,34,0.005
yos,34,35,0.005
yos,34,36,0.005
yos,34,37,0.005
yos,34,38,0.005
yos,34,39,0.005
yos,34,40,0.005
yos,34,41,0.005
yos,34,42,0.005
yos,34,43,0.005
yos,34,44,0.005
yos,34,45,0.005
yos,34,46,0.005
yos,34,47,0.005
yos,34,48,0.005
yos,34,49,0.005
yos,34,50,0.005
yos,34,51,0.005
yos,34,52,0.005
yos,34,53,0.005
yos,34,54,0.005
yos,34,55,0.005
yos,34,56,0.005
yos,34,57,0.005
yos,34,58,0.005
yos,34,59,0.005
yos,34,60,0.005
yos,34,61,0.005
yos,34,62,0.005
yos,34,63,0.005
yos,34,64,0.005
yos,34,65,0.005
