lookup_type,age,lookup_value,term_rate
yos,20,45,0.005
yos,20,46,0.005
yos,20,47,0.005
yos,20,48,0.005
yos,20,49,0.005
yos,20,50,0.005
yos,20,51,0.005
yos,20,52,0.005
yos,20,53,0.005
yos,20,54,0.005
yos,20,55,0.005
yos,20,56,0.005
yos,20,57,0.005
yos,20,58,0.005
yos,20,59,0.005
yos,20,60,0.005
yos,20,61,0.005
yos,20,62,0.005
yos,20,63,0.005
yos,20,64,0.005
yos,20,65,0.005
yos,20,66,0.005
yos,20,67,0.005
yos,20,68,0.005
yos,20,69,0.005
yos,20,70,0.005
yos,21,0,0.275
yos,21,1,0.185
yos,21,2,0.1674999999999999
yos,21,3,0.16
yos,21,4,0.1575
yos,21,5,0.1175
yos,21,6,0.1124999999999999
yos,21,7,0.0775
yos,21,8,0.0574999999999999
yos,21,9,0.05
yos,21,10,0.0424999999999999
yos,21,11,0.0375
yos,21,12,0.0325
yos,21,13,0.0325
yos,21,14,0.0275
yos,21,15,0.0275
yos,21,16,0.025
yos,21,17,0.0225
yos,21,18,0.02
yos,21,19,0.02
yos,21,20,0.0175
yos,21,21,0.0139999999999999
yos,21,22,0.0139999999999999
yos,21,23,0.0115
yos,21,24,0.0115
yos,21,25,0.01
yos,21,26,0.01
yos,21,27,0.009
yos,21,28,0.0065
yos,21,29,0.005
yos,21,30,0.005
yos,21,31,0.005
yos,21,32,0.005
yos,21,33,0.005
yos,21,34,0.005
yos,21,35,0.005
yos,21,36,0.005
yos,21,37,0.005
yos,21,38,0.005
yos,21,39,0.005
yos,21,40,0.005
yos,21,41,0.005
yos,21,42,0.005
yos,21,43,0.005
yos,21,44,0.005
yos,21,45,0.005
yos,21,46,0.005
yos,21,47,0.005
yos,21,48,0.005
yos,21,49,0.005
yos,21,50,0.005
yos,21,51,0.005
yos,21,52,0.005
yos,21,53,0.005
yos,21,54,0.005
yos,21,55,0.005
yos,21,56,0.005
yos,21,57,0.005
yos,21,58,0.005
yos,21,59,0.005
yos,21,60,0.005
yos,21,61,0.005
yos,21,62,0.005
yos,21,63,0.005
yos,21,64,0.005
yos,21,65,0.005
yos,21,66,0.005
yos,21,67,0.005
yos,21,68,0.005
yos,21,69,0.005
yos,21,70,0.005
yos,22,0,0.275
yos,22,1,0.185
yos,22,2,0.1674999999999999
yos,22,3,0.16
yos,22,4,0.1575
yos,22,5,0.1175
yos,22,6,0.1124999999999999
yos,22,7,0.0775
yos,22,8,0.0574999999999999
yos,22,9,0.05
yos,22,10,0.0424999999999999
yos,22,11,0.0375
yos,22,12,0.0325
yos,22,13,0.0325
yos,22,14,0.0275
yos,22,15,0.0275
yos,22,16,0.025
yos,22,17,0.0225
yos,22,18,0.02
yos,22,19,0.02
yos,22,20,0.0175
yos,22,21,0.0139999999999999
yos,22,22,0.0139999999999999
yos,22,23,0.0115
yos,22,24,0.0115
yos,22,25,0.01
yos,22,26,0.01
yos,22,27,0.009
yos,22,28,0.0065
yos,22,29,0.005
yos,22,30,0.005
yos,22,31,0.005
yos,22,32,0.005
yos,22,33,0.005
yos,22,34,0.005
yos,22,35,0.005
yos,22,36,0.005
yos,22,37,0.005
yos,22,38,0.005
yos,22,39,0.005
yos,22,40,0.005
yos,22,41,0.005
yos,22,42,0.005
yos,22,43,0.005
yos,22,44,0.005
yos,22,45,0.005
yos,22,46,0.005
yos,22,47,0.005
yos,22,48,0.005
yos,22,49,0.005
yos,22,50,0.005
yos,22,51,0.005
yos,22,52,0.005
yos,22,53,0.005
yos,22,54,0.005
yos,22,55,0.005
yos,22,56,0.005
yos,22,57,0.005
yos,22,58,0.005
yos,22,59,0.005
yos,22,60,0.005
yos,22,61,0.005
yos,22,62,0.005
yos,22,63,0.005
yos,22,64,0.005
yos,22,65,0.005
yos,22,66,0.005
yos,22,67,0.005
yos,22,68,0.005
yos,22,69,0.005
yos,22,70,0.005
yos,23,0,0.275
yos,23,1,0.185
yos,23,2,0.1674999999999999
yos,23,3,0.16
yos,23,4,0.1575
yos,23,5,0.1175
yos,23,6,0.1124999999999999
yos,23,7,0.0775
yos,23,8,0.0574999999999999
yos,23,9,0.05
yos,23,10,0.0424999999999999
yos,23,11,0.0375
yos,23,12,0.0325
yos,23,13,0.0325
yos,23,14,0.0275
yos,23,15,0.0275
yos,23,16,0.025
yos,23,17,0.0225
yos,23,18,0.02
