class_name,year_offset,payment
eso,31,3456985.3727718052
eso,32,3569337.3973868885
eso,33,3685340.8628019621
eso,34,3805114.4408430257
eso,35,3928780.6601704238
eso,36,4056466.0316259624
eso,37,4188301.1776538058
eso,38,4324420.9659275543
eso,39,4464964.6473201998
eso,40,4610075.9983581062
eso,41,4759903.4683047449
eso,42,4914600.3310246486
eso,43,5074324.8417829499
eso,44,5239240.3991408953
eso,45,5409515.7121129744
eso,46,5585324.9727566456
eso,47,5766848.0343712363
eso,48,5954270.5954883015
eso,49,6147784.3898416711
eso,50,6347587.3825115254
judges,1,4324187.1551697468
judges,2,4464723.2377127632
judges,3,4609826.7429384282
judges,4,4759646.1120839268
judges,5,4914334.6107266545
judges,6,5074050.4855752708
judges,7,5238957.1263564667
judges,8,5409223.2329630516
judges,9,5585022.9880343508
judges,10,5766536.2351454673
judges,11,5953948.6627876945
judges,12,6147451.9943282939
judges,13,6347244.1841439633
judges,14,6553529.6201286418
judges,15,6766519.3327828227
judges,16,6986431.211098264
judges,17,7213490.2254589573
judges,18,7447928.657786373
judges,19,7689986.3391644303
judges,20,7939910.8951872736
judges,21,8197957.9992808597
judges,22,8464391.634257488
judges,23,8739484.3623708561
judges,24,9023517.6041479092
judges,25,9316781.9262827169
judges,26,9619577.3388869055
judges,27,9932213.6024007294
judges,28,10255010.544478754
judges,29,10588298.387174312
judges,30,10932418.084757477
judges,31,11287721.672512095
judges,32,11654572.626868738
judges,33,12033346.237241972
judges,34,12424429.989952335
judges,35,12828223.964625785
judges,36,13245141.243476123
judges,37,13675608.333889097
judges,38,14120065.604740493
judges,39,14578967.736894559
judges,40,15052784.188343631
judges,41,15541999.674464799
judges,42,16047114.663884904
judges,43,16568645.890461164
judges,44,17107126.881901152
judges,45,17663108.505562939
judges,46,18237159.531993736
judges,47,18829867.216783531
judges,48,19441837.901328996
judges,49,20073697.633122187
judges,50,20726092.806198657
senior_management,1,27177858.877945039
senior_management,2,28061139.291478254
senior_management,3,28973126.318451297
senior_management,4,29914752.923800964
senior_management,5,30886982.393824495
senior_management,6,31890809.321623791
senior_management,7,32927260.624576565
senior_management,8,33997396.594875306
senior_management,9,35102311.984208755
senior_management,10,36243137.123695537
senior_management,11,37421039.08021564
senior_management,12,38637222.850322649
senior_management,13,39892932.592958137
senior_management,14,41189452.902229279
senior_management,15,42528110.12155173
senior_management,16,43910273.700502157
senior_management,17,45337357.595768474
senior_management,18,46810821.717630945
senior_management,19,48332173.423453949
senior_management,20,49902969.059716202
senior_management,21,51524815.554156974
senior_management,22,53199372.059667073
senior_management,23,54928351.651606254
senior_management,24,56713523.080283456
senior_management,25,58556712.580392666
senior_management,26,60459805.739255428
senior_management,27,62424749.425781228
