age,gender,member_type,table,qx
30,female,retiree,txtrs_av_av_first,0.00016999999999995182
31,female,retiree,txtrs_av_av_first,0.00017961710814082117
32,female,retiree,txtrs_av_av_first,0.00019397599994606487
33,female,retiree,txtrs_av_av_first,0.00021325586975786228
34,female,retiree,txtrs_av_av_first,0.0002377156953095284
35,female,retiree,txtrs_av_av_first,0.00026758992870225273
36,female,retiree,txtrs_av_av_first,0.0003029618106741816
37,female,retiree,txtrs_av_av_first,0.00034360810780612077
38,female,retiree,txtrs_av_av_first,0.00038881900411628695
39,female,retiree,txtrs_av_av_first,0.0004372112251960835
40,female,retiree,txtrs_av_av_first,0.0004865707943108788
41,female,retiree,txtrs_av_av_first,0.0005367552451444016
42,female,retiree,txtrs_av_av_first,0.0005898922364200442
43,female,retiree,txtrs_av_av_first,0.0006466590214917773
44,female,retiree,txtrs_av_av_first,0.0007079856105662373
45,female,retiree,txtrs_av_av_first,0.0007751042248445757
46,female,retiree,txtrs_av_av_first,0.0008496156687422066
47,female,retiree,txtrs_av_av_first,0.0009335805843189188
48,female,retiree,txtrs_av_av_first,0.001029646508166692
49,female,retiree,txtrs_av_av_first,0.0011412260747573205
50,female,retiree,txtrs_av_av_first,0.0012727484261687903
51,female,retiree,txtrs_av_av_first,0.0014364783555069211
52,female,retiree,txtrs_av_av_first,0.0016443706195574707
53,female,retiree,txtrs_av_av_first,0.0019014060024309903
54,female,retiree,txtrs_av_av_first,0.0022118464216903974
55,female,retiree,txtrs_av_av_first,0.0025779260721561217
56,female,retiree,txtrs_av_av_first,0.0029981389528344945
57,female,retiree,txtrs_av_av_first,0.0034652078457287983
58,female,retiree,txtrs_av_av_first,0.0039639984960974355
59,female,retiree,txtrs_av_av_first,0.004469868625938678
60,female,retiree,txtrs_av_av_first,0.004948157886774716
61,female,retiree,txtrs_av_av_first,0.005386659290205668
62,female,retiree,txtrs_av_av_first,0.005802247022027811
63,female,retiree,txtrs_av_av_first,0.006193280435233965
64,female,retiree,txtrs_av_av_first,0.0065678701777696
65,female,retiree,txtrs_av_av_first,0.006953561427000271
66,female,retiree,txtrs_av_av_first,0.007352450088394306
67,female,retiree,txtrs_av_av_first,0.007801862147198914
68,female,retiree,txtrs_av_av_first,0.008320570962290764
69,female,retiree,txtrs_av_av_first,0.008931906549784483
70,female,retiree,txtrs_av_av_first,0.009697735830889365
71,female,retiree,txtrs_av_av_first,0.010669323745083855
72,female,retiree,txtrs_av_av_first,0.01187833241040547
73,female,retiree,txtrs_av_av_first,0.01338239838725706
74,female,retiree,txtrs_av_av_first,0.015189582740078754
