year,payroll_db_legacy_est,payroll_db_new_est,payroll_dc_legacy_est,payroll_dc_new_est,total_payroll_est,nc_rate_db_legacy_est,nc_rate_db_new_est,pvfb_active_db_legacy_est,pvfb_active_db_new_est,pvfnc_db_legacy_est,pvfnc_db_new_est,total_n_active,payroll_db_est,payroll_dc_est,total_nc_rate_est,aal_active_db_legacy_est,aal_active_db_new_est,aal_term_db_legacy_est,aal_term_db_new_est,refund_db_legacy_est,refund_db_new_est,retire_ben_db_legacy_est,retire_ben_db_new_est,aal_retire_db_legacy_est,aal_retire_db_new_est,retire_ben_current_est,aal_retire_current_est,retire_ben_term_est,aal_term_current_est,aal_legacy_est,aal_new_est,total_aal_est,tot_ben_refund_legacy_est,tot_ben_refund_new_est,tot_ben_refund_est,liability_gain_loss_legacy_est,liability_gain_loss_new_est,total_liability_gain_loss_est,aal_legacy_roll,aal_new_roll,total_aal_roll
2042,6954320126.965944,7771869717.569236,4615025488.7720375,23315609152.707706,42656824486.01492,0.07788948551935522,0.08392220596567947,31072032351.38615,12645138471.764013,3100240146.0449,6446513451.744084,536076.522178452,14726189844.53518,27930634641.479744,0.0810733041341035,27971792205.34125,6198625020.019929,2637720682.9874225,368448180.2183014,0,40108558.81437391,7260861453.065555,60708311.10305754,73237583519.97546,594575790.4261771,5752628216.371197,36094814192.22368,517657448.1316943,9712813287.557741,149654723888.08557,7161648990.664408,156816372878.74997,13531147117.568447,100816869.91743144,13631963987.485878,0,0,0,149654723888.08554,7161648990.664407,156816372878.74994
2043,6330589955.519502,8266304963.504737,4403847406.577061,24798914890.51421,43799657216.11551,0.07705101327505211,0.0839185715890677,28340489178.05491,13825890841.984161,2766287819.0036335,6841195996.244324,536076.522178452,14596894919.024239,29202762297.09127,0.08094015077266589,25574201359.051277,6984694845.739838,2862247630.378436,446626033.73389596,0,41894784.669449404,7583763505.887708,76421939.9801454,75326307789.16937,744074320.0918661,5446166205.649799,33067000537.452858,534481315.19597435,9829090462.628136,146658847778.68008,8175395199.5656,154834242978.2457,13564411026.73348,118316724.6495948,13682727751.383076,0,0,0,146658847778.68002,8175395199.5655985,154834242978.24564
2044,5968169390.362001,8728281012.004112,4258370779.959611,26184843036.012337,45139664218.338066,0.07636950446174146,0.08389911473670603,27088753677.55248,15034910133.812077,2463850732.1752324,7209774245.788194,536076.522178452,14696450402.366114,30443213815.971947,0.08084137029270316,24624902945.377247,7825135888.023883,3106794470.3894486,525138179.9748958,0,42565195.053515114,7768712874.542594,95730584.83126178,75702229563.15758,928273334.9098759,5131422294.564965,30151067278.897232,551851957.9398435,9935787565.684376,143520781823.5059,9278547402.908653,152799329226.41455,13451987127.047403,138295779.8847769,13590282906.93218,0,-0,0,143520781823.5058,9278547402.908653,152799329226.41446
2045,5716968750.564857,9173594415.461147,4176549967.057382,27520783246.383442,46587896379.46683,0.07576903040085976,0.08387103610644346,26426110923.345234,16268283098.972883,2173142592.345293,7560305260.709947,536076.522178452,14890563166.026005,31697333213.440823,0.08076041410247516,24252968330.99994,8707977838.262936,2602944938.001865,615118283.9088662,0,43472507.4532274,7953646331.750043,118803478.7054115,76010226624.64603,1147133020.653439,4811087965.40261,27360100821.180737,569787146.5728885,10031698186.012339,140257938900.8409,10470229142.825241,150728168043.66614,13334521443.725542,162275986.1586389,13496797429.88418,0,0,0,140257938900.84082,10470229142.82524,150728168043.66605
2046,5171477686.846687,9707224099.105223,3898225798.5737367,29121672297.315666,47898599881.84131,0.07477891600950697,0.08385098647665604,24519572654.44923,17609938926.59303,1885573966.9701133,7959685291.704304,536076.522178452,14878701785.95191,33019898095.889404,0.08069775371016163,22633998687.47912,9650253634.888725,2806862681.586592,713062057.6995394,0,43810514.48095345,8183665464.279795,144535469.9717975,76566813612.23904,1389471686.7985256,4487946054.298603,24705281521.901245,588305228.8365073,10115516735.638657,136828473238.84465,11752787379.38679,148581260618.23145,13259916747.414906,188345984.45275095,13448262731.867657,0,0,0,136828473238.84456,11752787379.386787,148581260618.23135
2047,4923191628.6968975,10182604311.81559,3789481704.8493333,30547812935.446774,49443090580.80859,0.07434176189436782,0.08380953209307376,23957081703.111134,18965976558.81844,1625189927.1673634,8320966788.299083,536076.522178452,15105795940.512487,34337294640.29611,0.08072385245273873,22331891775.94377,10645009770.519356,2168726872.024528,823428271.8390145,0,45210521.497829355,8321921306.748696,174072657.52686742,76406366745.92491,1666463229.08258,4164788436.715257,22195746947.153366,607425148.7736938,10185831208.152754,133288563549.19934,13134901271.44095,146423464820.6403,13094134892.237646,219283179.02469677,13313418071.262342,0,0,0,133288563549.19925,13134901271.440947,146423464820.6402
2048,4706465768.816273,10662730013.597311,3699981834.4928317,31988190040.79193,51057367657.69835,0.07394125203257329,0.08376688872347729,23450292275.210804,20380692480.94955,1368078912.466647,8672830508.543184,536076.522178452,15369195782.413584,35688171875.28476,0.08075801152539512,22082213362.744156,11707861972.406366,2297540265.6060467,939890403.1534526,0,46474454.65729657,8375684335.38791,206450390.38964194,75278314191.36687,1967661738.8829145,3844368592.89467,19838493399.71797,627166466.1088388,10241115432.990149,129737676652.42519,14615414114.442734,144353090766.86792,12847219394.391418,252924845.0469385,13100144239.438356,-0,-0,-0,129737676652.42511,14615414114.442732,144353090766.86783
2049,3896862370.012936,11275465633.246895,3388962570.025922,33826396899.740685,52387687473.026436,0.07396954058961444,0.08373365927899756,19738108541.269627,21930616715.246033,1111738228.0071895,9107965347.028587,536076.522178452,15172328003.25983,37215359469.76661,0.08122584197575826,18626370313.262436,12822651368.217445,2459360219.39876,1052162601.9944366,0,46699936.158213966,8660124449.426542,244409113.25884014,76937305353.1451,2321907559.018948,3529305807.0336175,17638366650.465458,647549376.2573761,10279720790.743113,125941123327.01486,16196721529.23083,142137844856.2457,12836979632.717535,291109049.4170541,13128088682.134588,0,0,0,125941123327.01477,16196721529.230827,142137844856.2456
2050,3312285637.235674,11854640257.383377,3180548745.1021466,35563920772.15013,53911395411.87133,0.07396385487733143,0.08369781556399394,17042275351.729399,23516177645.56073,897975570.032858,9525202175.831041,536076.522178452,15166925894.619051,38744469517.25228,0.08157202828186001,16144299781.69654,13990975469.729689,1519875989.1552615,1178561062.1156695,0,48292523.490367115,8919543977.444532,287322159.85053575,78295108661.10979,2720886654.0493765,3222127446.1040044,15598009769.94264,668594730.9857408,10299867352.73716,121857161554.64139,17890423185.894733,139747584740.53613,12810266154.534277,335614683.34090286,13145880837.87518,0,0,0,121857161554.6413,17890423185.89473,139747584740.536
2051,2510269045.3977795,12512204354.92987,2782817794.6897454,37536613064.78961,55341904259.80701,0.07339431891645012,0.08367773430832975,12999204813.422758,25221244446.585323,713150519.0402907,9987741278.151337,536076.522178452,15022473400.32765,40319430859.479355,0.08195936619069079,12286054294.382467,15233503168.433987,1626732114.3321147,1307703830.68872,0,49602467.89329079,9180298055.046698,334357660.2755399,79540461439.3265,3156121905.8981137,2925097587.2795496,13717978837.249245,690324059.7427773,10299634405.627771,117470861090.91812,19697328905.02082,137168189995.93893,12795719702.069025,383960128.16883063,13179679830.237856,0,0,0,117470861090.918,19697328905.020813,137168189995.93881
2052,2057170936.8300138,13102229562.680523,2583213203.634661,39306688688.04157,57049302391.18677,0.07339519285676574,0.08363967638050301,10677765005.081343,26938385225.257313,576692116.9319727,10408650809.994734,536076.522178452,15159400499.510536,41889901891.67623,0.08224947273963036,10101072888.14937,16529734415.262579,1550181330.5042377,1452122516.3334284,0,51777478.79228651,9256567986.489313,387147459.6230421,78991032735.60094,3643260983.2692294,2640201387.007914,11996882032.33703,712759591.6844176,10276950319.120415,112916119305.712,21625117914.86524,134541237220.57724,12609528965.181644,438924938.4153286,13048453903.596973,0,0,0,112916119305.71188,21625117914.865227,134541237220.57712
